date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,481.2692,0,409.0
2020-07-10,1,481.42514,0,327.0
2020-07-11,2,481.42078,0,276.0
2020-07-12,3,481.4081,0,236.0
2020-07-13,4,481.39453,0,504.0
2020-07-14,5,481.38046,0,418.0
2020-07-15,6,481.36588,0,462.0
2020-07-16,7,481.3509,0,433.0
2020-07-17,8,481.33548,0,432.0
2020-07-18,9,481.3197,0,236.0
2020-07-19,10,481.3035,0,202.0
2020-07-20,11,481.28696,0,434.0
2020-07-21,12,481.27002,0,355.0
2020-07-22,13,481.25284,0,348.0
2020-07-23,14,481.2353,0,323.0
2020-07-24,15,481.21744,0,315.0
2020-07-25,16,481.19928,0,168.0
2020-07-26,17,481.18082,0,157.0
2020-07-27,18,481.16217,0,331.0
2020-07-28,19,481.14328,0,330.0
2020-07-29,20,481.124,0,311.0
2020-07-30,21,481.10483,0,285.0
2020-07-31,22,481.0866,0,285.0
2020-08-01,23,481.04434,0,201.0
2020-08-02,24,480.99332,0,145.0
2020-08-03,25,481.94284,0,373.0
2020-08-04,26,480.00943,0,206.0
2020-08-05,27,463.7686,0,319.0
