date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,371.81897,3,449.0
2020-07-10,1,464.43182,3,396.3333435058594
2020-07-11,2,576.371,3,337.3333435058594
2020-07-12,3,710.55853,3,279.6666564941406
2020-07-13,4,870.2263,3,338.6666564941406
2020-07-14,5,1059.0714,3,386.0
2020-07-15,6,1280.6621,3,461.3333435058594
2020-07-16,7,1538.1166,3,437.6666564941406
2020-07-17,8,1833.7821,3,442.3333435058594
2020-07-18,9,2168.7449,3,367.0
2020-07-19,10,2542.3015,3,290.0
2020-07-20,11,2951.4653,3,290.6666564941406
2020-07-21,12,3390.6248,3,330.3333435058594
2020-07-22,13,3851.4863,3,379.0
2020-07-23,14,4323.4224,3,342.0
2020-07-24,15,4794.2603,3,328.6666564941406
2020-07-25,16,5251.4287,3,268.6666564941406
2020-07-26,17,5683.268,3,213.3333282470703
2020-07-27,18,6080.218,3,218.6666717529297
2020-07-28,19,6435.635,3,272.6666564941406
2020-07-29,20,6746.092,3,324.0
2020-07-30,21,7011.1694,3,308.6666564941406
2020-07-31,22,7232.886,3,293.6666564941406
2020-08-01,23,7414.9434,3,257.0
2020-08-02,24,7561.989,3,210.3333282470703
2020-08-03,25,7678.995,3,239.6666717529297
2020-08-04,26,7770.862,3,241.3333282470703
2020-08-05,27,7844.0273,3,299.3333435058594
