date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,327.09238,7,335.0
2020-07-10,1,326.78842,7,346.4285583496094
2020-07-11,2,326.2791,7,367.1428527832031
2020-07-12,3,325.64114,7,377.28570556640625
2020-07-13,4,324.91757,7,384.28570556640625
2020-07-14,5,324.13416,7,374.71429443359375
2020-07-15,6,323.30716,7,376.0
2020-07-16,7,322.4473,7,379.4285583496094
2020-07-17,8,321.56213,7,394.4285583496094
2020-07-18,9,320.65695,7,388.71429443359375
2020-07-19,10,319.7358,7,383.8571472167969
2020-07-20,11,318.8018,7,373.8571472167969
2020-07-21,12,317.85712,7,364.8571472167969
2020-07-22,13,316.9039,7,348.5714416503906
2020-07-23,14,315.94348,7,332.8571472167969
2020-07-24,15,314.97717,7,316.1428527832031
2020-07-25,16,314.00607,7,306.4285583496094
2020-07-26,17,313.031,7,300.0
2020-07-27,18,312.05273,7,285.28570556640625
2020-07-28,19,311.07187,7,281.71429443359375
2020-07-29,20,310.08893,7,276.4285583496094
2020-07-30,21,309.10452,7,271.0
2020-07-31,22,308.11884,7,266.71429443359375
2020-08-01,23,307.13242,7,271.4285583496094
2020-08-02,24,306.1455,7,269.71429443359375
2020-08-03,25,305.15848,7,275.71429443359375
2020-08-04,26,304.17142,7,258.0
2020-08-05,27,303.1855,7,259.1428527832031
