date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,324.64227,7,335.0
2020-07-10,1,324.40186,7,346.4285583496094
2020-07-11,2,324.14557,7,367.1428527832031
2020-07-12,3,323.8817,7,377.28570556640625
2020-07-13,4,323.61392,7,384.28570556640625
2020-07-14,5,323.3438,7,374.71429443359375
2020-07-15,6,323.07227,7,376.0
2020-07-16,7,322.79938,7,379.4285583496094
2020-07-17,8,322.52545,7,394.4285583496094
2020-07-18,9,322.25052,7,388.71429443359375
2020-07-19,10,321.97458,7,383.8571472167969
2020-07-20,11,321.69775,7,373.8571472167969
2020-07-21,12,321.42038,7,364.8571472167969
2020-07-22,13,321.18082,7,348.5714416503906
2020-07-23,14,322.49277,7,332.8571472167969
2020-07-24,15,327.52737,7,316.1428527832031
2020-07-25,16,331.00464,7,306.4285583496094
2020-07-26,17,332.73877,7,300.0
2020-07-27,18,333.68005,7,285.28570556640625
2020-07-28,19,334.23413,7,281.71429443359375
2020-07-29,20,334.57233,7,276.4285583496094
2020-07-30,21,334.77667,7,271.0
2020-07-31,22,334.89117,7,266.71429443359375
2020-08-01,23,334.94183,7,271.4285583496094
2020-08-02,24,334.94495,7,269.71429443359375
2020-08-03,25,334.91138,7,275.71429443359375
2020-08-04,26,334.84848,7,258.0
2020-08-05,27,328.6006,7,259.1428527832031
