date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,346.11273,3,449.0
2020-07-10,1,395.53693,3,396.3333435058594
2020-07-11,2,450.4271,3,337.3333435058594
2020-07-12,3,511.53998,3,279.6666564941406
2020-07-13,4,593.0541,3,338.6666564941406
2020-07-14,5,680.4668,3,386.0
2020-07-15,6,770.8169,3,461.3333435058594
2020-07-16,7,866.46576,3,437.6666564941406
2020-07-17,8,967.98395,3,442.3333435058594
2020-07-18,9,1078.5018,3,367.0
2020-07-19,10,1199.3623,3,290.0
2020-07-20,11,1331.6494,3,290.6666564941406
2020-07-21,12,1475.7397,3,330.3333435058594
2020-07-22,13,1631.9435,3,379.0
2020-07-23,14,1800.8967,3,342.0
2020-07-24,15,1983.0946,3,328.6666564941406
2020-07-25,16,2178.8198,3,268.6666564941406
2020-07-26,17,2388.163,3,213.3333282470703
2020-07-27,18,2611.013,3,218.6666717529297
2020-07-28,19,2847.035,3,272.6666564941406
2020-07-29,20,3095.65,3,324.0
2020-07-30,21,3356.0178,3,308.6666564941406
2020-07-31,22,3627.0298,3,293.6666564941406
2020-08-01,23,3907.3088,3,257.0
2020-08-02,24,4195.2256,3,210.3333282470703
2020-08-03,25,4488.924,3,239.6666717529297
2020-08-04,26,4786.361,3,241.3333282470703
2020-08-05,27,5085.3604,3,299.3333435058594
