date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,355.5286,7,335.0
2020-07-10,1,360.69385,7,346.4285583496094
2020-07-11,2,363.4725,7,367.1428527832031
2020-07-12,3,366.7419,7,377.28570556640625
2020-07-13,4,370.81775,7,384.28570556640625
2020-07-14,5,373.9658,7,374.71429443359375
2020-07-15,6,374.859,7,376.0
2020-07-16,7,374.49365,7,379.4285583496094
2020-07-17,8,370.89655,7,394.4285583496094
2020-07-18,9,359.90555,7,388.71429443359375
2020-07-19,10,351.51743,7,383.8571472167969
2020-07-20,11,348.56464,7,373.8571472167969
2020-07-21,12,353.8018,7,364.8571472167969
2020-07-22,13,359.8459,7,348.5714416503906
2020-07-23,14,362.74615,7,332.8571472167969
2020-07-24,15,365.83084,7,316.1428527832031
2020-07-25,16,369.7451,7,306.4285583496094
2020-07-26,17,373.36478,7,300.0
2020-07-27,18,374.53488,7,285.28570556640625
2020-07-28,19,374.4164,7,281.71429443359375
2020-07-29,20,371.6547,7,276.4285583496094
2020-07-30,21,362.34253,7,271.0
2020-07-31,22,351.3506,7,266.71429443359375
2020-08-01,23,346.79263,7,271.4285583496094
2020-08-02,24,352.02713,7,269.71429443359375
2020-08-03,25,360.45993,7,275.71429443359375
2020-08-04,26,395.0987,7,258.0
2020-08-05,27,398.01437,7,259.1428527832031
