date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,586.0873,0,409.0
2020-07-10,1,668.77155,0,327.0
2020-07-11,2,743.59344,0,276.0
2020-07-12,3,807.69147,0,236.0
2020-07-13,4,859.90234,0,504.0
2020-07-14,5,900.5864,0,418.0
2020-07-15,6,931.1357,0,462.0
2020-07-16,7,953.4049,0,433.0
2020-07-17,8,969.26965,0,432.0
2020-07-18,9,980.3754,0,236.0
2020-07-19,10,988.04535,0,202.0
2020-07-20,11,993.2844,0,434.0
2020-07-21,12,996.8283,0,355.0
2020-07-22,13,999.2014,0,348.0
2020-07-23,14,1000.7714,0,323.0
2020-07-24,15,1001.79297,0,315.0
2020-07-25,16,1002.4413,0,168.0
2020-07-26,17,1002.83594,0,157.0
2020-07-27,18,1003.05853,0,331.0
2020-07-28,19,1003.16473,0,330.0
2020-07-29,20,1003.1919,0,311.0
2020-07-30,21,1003.1655,0,285.0
2020-07-31,22,1003.1032,0,285.0
2020-08-01,23,1003.0162,0,201.0
2020-08-02,24,1002.9128,0,145.0
2020-08-03,25,1002.79803,0,373.0
2020-08-04,26,1002.6758,0,206.0
2020-08-05,27,1002.54834,0,319.0
