date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,381.0163,7,335.0
2020-07-10,1,381.1167,7,346.4285583496094
2020-07-11,2,381.21457,7,367.1428527832031
2020-07-12,3,381.31223,7,377.28570556640625
2020-07-13,4,381.4112,7,384.28570556640625
2020-07-14,5,381.51212,7,374.71429443359375
2020-07-15,6,381.61566,7,376.0
2020-07-16,7,381.72235,7,379.4285583496094
2020-07-17,8,381.8326,7,394.4285583496094
2020-07-18,9,381.9469,7,388.71429443359375
2020-07-19,10,382.06564,7,383.8571472167969
2020-07-20,11,382.18903,7,373.8571472167969
2020-07-21,12,382.3168,7,364.8571472167969
2020-07-22,13,382.4483,7,348.5714416503906
2020-07-23,14,382.5817,7,332.8571472167969
2020-07-24,15,382.71393,7,316.1428527832031
2020-07-25,16,382.84033,7,306.4285583496094
2020-07-26,17,382.95435,7,300.0
2020-07-27,18,383.04727,7,285.28570556640625
2020-07-28,19,383.10797,7,281.71429443359375
2020-07-29,20,383.1221,7,276.4285583496094
2020-07-30,21,383.0697,7,271.0
2020-07-31,22,382.91803,7,266.71429443359375
2020-08-01,23,382.5982,7,271.4285583496094
2020-08-02,24,381.89716,7,269.71429443359375
2020-08-03,25,378.63586,7,275.71429443359375
2020-08-04,26,388.7584,7,258.0
2020-08-05,27,406.53302,7,259.1428527832031
