date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,313.11688,7,335.0
2020-07-10,1,313.33868,7,346.4285583496094
2020-07-11,2,313.54727,7,367.1428527832031
2020-07-12,3,313.74808,7,377.28570556640625
2020-07-13,4,313.94363,7,384.28570556640625
2020-07-14,5,314.13513,7,374.71429443359375
2020-07-15,6,314.32324,7,376.0
2020-07-16,7,314.5081,7,379.4285583496094
2020-07-17,8,314.68982,7,394.4285583496094
2020-07-18,9,314.86862,7,388.71429443359375
2020-07-19,10,315.04486,7,383.8571472167969
2020-07-20,11,315.23135,7,373.8571472167969
2020-07-21,12,315.86996,7,364.8571472167969
2020-07-22,13,320.85065,7,348.5714416503906
2020-07-23,14,327.63358,7,332.8571472167969
2020-07-24,15,331.78003,7,316.1428527832031
2020-07-25,16,333.95538,7,306.4285583496094
2020-07-26,17,335.30093,7,300.0
2020-07-27,18,336.25113,7,285.28570556640625
2020-07-28,19,336.9821,7,281.71429443359375
2020-07-29,20,337.57672,7,276.4285583496094
2020-07-30,21,338.07935,7,271.0
2020-07-31,22,338.51593,7,266.71429443359375
2020-08-01,23,338.90295,7,271.4285583496094
2020-08-02,24,339.25128,7,269.71429443359375
2020-08-03,25,339.56857,7,275.71429443359375
2020-08-04,26,339.86136,7,258.0
2020-08-05,27,340.20038,7,259.1428527832031
