date,observed_or_filled_yoy_pp,clipped_yoy_pp,noise_pp,released_yoy_pp,scaled_signal
2020-02-29,-2.0,-2.0,0.21519853,-1.7848015,-0.017848015
2020-03-01,-2.0,-2.0,-0.22610931,-2.2261093,-0.022261092
2020-03-02,-6.0,-6.0,1.0961407,-4.903859,-0.049038593
2020-03-03,-12.0,-12.0,0.17954595,-11.820454,-0.118204534
2020-03-04,-12.0,-12.0,-0.91684616,-12.916846,-0.12916847
2020-03-05,-9.0,-9.0,0.6189023,-8.381098,-0.08381098
2020-03-06,-15.0,-15.0,2.2319129,-12.768087,-0.12768087
2020-03-07,-10.0,-10.0,1.6210139,-8.378986,-0.08378986
2020-03-08,-4.0,-4.0,-1.2045059,-5.204506,-0.05204506
2020-03-09,-18.0,-18.0,-2.165882,-20.165882,-0.20165882
2020-03-10,-30.0,-30.0,-1.0667901,-31.06679,-0.3106679
2020-03-11,-36.0,-36.0,0.070733115,-35.929268,-0.3592927
2020-03-12,-52.0,-52.0,-3.9794984,-55.9795,-0.559795
2020-03-13,-61.0,-61.0,-0.37448153,-61.37448,-0.6137448
2020-03-14,-64.0,-64.0,-2.1324883,-66.13249,-0.6613249
2020-03-15,-69.0,-69.0,-1.2533412,-70.25334,-0.7025334
2020-03-16,-77.0,-77.0,-0.931548,-77.93155,-0.7793155
2020-03-17,-100.0,-100.0,-0.54137605,-100.0,-1.0
2020-03-18,-100.0,-100.0,0.7045425,-99.295456,-0.99295455
2020-03-19,-100.0,-100.0,1.784355,-98.215645,-0.98215646
2020-03-20,-100.0,-100.0,-0.2199986,-100.0,-1.0
2020-03-21,-100.0,-100.0,2.3388247,-97.66118,-0.9766118
2020-03-22,-100.0,-100.0,-1.1385403,-100.0,-1.0
2020-03-23,-100.0,-100.0,0.601641,-99.39836,-0.9939836
2020-03-24,-100.0,-100.0,1.5463701,-98.45363,-0.9845363
2020-03-25,-100.0,-100.0,0.16091047,-99.83909,-0.9983909
2020-03-26,-100.0,-100.0,-1.2725656,-100.0,-1.0
2020-03-27,-100.0,-100.0,-1.5776156,-100.0,-1.0
2020-03-28,-100.0,-100.0,-0.78343874,-100.0,-1.0
2020-03-29,-100.0,-100.0,0.3768837,-99.623116,-0.99623114
2020-03-30,-100.0,-100.0,-1.728052,-100.0,-1.0
2020-03-31,-100.0,-100.0,-0.35802275,-100.0,-1.0
2020-04-01,-100.0,-100.0,-0.27252787,-100.0,-1.0
2020-04-02,-100.0,-100.0,0.9257057,-99.074295,-0.9907429
2020-04-03,-100.0,-100.0,0.36740834,-99.63259,-0.9963259
2020-04-04,-100.0,-100.0,0.6082522,-99.39175,-0.99391747
2020-04-05,-100.0,-100.0,-1.1190863,-100.0,-1.0
2020-04-06,-100.0,-100.0,-0.22184534,-100.0,-1.0
2020-04-07,-100.0,-100.0,1.3418442,-98.65816,-0.98658156
2020-04-08,-100.0,-100.0,2.5561411,-97.443855,-0.97443855
2020-04-09,-100.0,-100.0,-2.1550035,-100.0,-1.0
2020-04-10,-100.0,-100.0,2.591216,-97.40878,-0.97408783
2020-04-11,-100.0,-100.0,2.3035865,-97.69641,-0.9769641
2020-04-12,-100.0,-100.0,1.3372844,-98.66271,-0.9866271
2020-04-13,-100.0,-100.0,0.45263952,-99.54736,-0.9954736
2020-04-14,-100.0,-100.0,-0.537307,-100.0,-1.0
2020-04-15,-100.0,-100.0,2.495533,-97.50447,-0.9750447
2020-04-16,-100.0,-100.0,3.3551579,-96.644844,-0.9664484
2020-04-17,-100.0,-100.0,3.0836594,-96.91634,-0.9691634
2020-04-18,-100.0,-100.0,2.250918,-97.749084,-0.97749084
2020-04-19,-100.0,-100.0,0.6116886,-99.38831,-0.99388313
2020-04-20,-100.0,-100.0,-2.0681455,-100.0,-1.0
2020-04-21,-100.0,-100.0,-0.007623648,-100.0,-1.0
2020-04-22,-100.0,-100.0,1.1236156,-98.87638,-0.9887638
2020-04-23,-100.0,-100.0,-2.205146,-100.0,-1.0
2020-04-24,-100.0,-100.0,0.6762868,-99.323715,-0.99323714
2020-04-25,-100.0,-100.0,0.73575026,-99.26425,-0.9926425
2020-04-26,-100.0,-100.0,1.1913395,-98.80866,-0.98808664
2020-04-27,-100.0,-100.0,-2.026724,-100.0,-1.0
2020-04-28,-100.0,-100.0,-1.1325632,-100.0,-1.0
2020-04-29,-100.0,-100.0,-0.746998,-100.0,-1.0
2020-04-30,-100.0,-100.0,-2.0022209,-100.0,-1.0
2020-05-01,-100.0,-100.0,2.977084,-97.02292,-0.9702292
