date,observed_or_filled_yoy_pp,clipped_yoy_pp,noise_pp,released_yoy_pp,scaled_signal
2020-02-29,-2.0,-2.0,0.8607941,-1.1392059,-0.01139206
2020-03-01,-2.0,-2.0,-0.90443724,-2.9044373,-0.029044373
2020-03-02,-6.0,-6.0,4.384563,-1.615437,-0.016154371
2020-03-03,-12.0,-12.0,0.7181838,-11.2818165,-0.11281817
2020-03-04,-12.0,-12.0,-3.6673846,-15.667385,-0.15667385
2020-03-05,-9.0,-9.0,2.4756093,-6.5243907,-0.06524391
2020-03-06,-15.0,-15.0,8.927651,-6.0723486,-0.060723487
2020-03-07,-10.0,-10.0,6.4840555,-3.5159445,-0.035159446
2020-03-08,-4.0,-4.0,-4.8180237,-8.818024,-0.08818024
2020-03-09,-18.0,-18.0,-8.663528,-26.663528,-0.2666353
2020-03-10,-30.0,-30.0,-4.2671604,-34.26716,-0.34267157
2020-03-11,-36.0,-36.0,0.28293246,-35.717068,-0.35717067
2020-03-12,-52.0,-52.0,-15.917994,-67.91799,-0.6791799
2020-03-13,-61.0,-61.0,-1.4979261,-62.497925,-0.62497926
2020-03-14,-64.0,-64.0,-8.529953,-72.52995,-0.72529954
2020-03-15,-69.0,-69.0,-5.013365,-74.01337,-0.74013364
2020-03-16,-77.0,-77.0,-3.726192,-80.72619,-0.8072619
2020-03-17,-100.0,-100.0,-2.1655042,-100.0,-1.0
2020-03-18,-100.0,-100.0,2.81817,-97.18183,-0.9718183
2020-03-19,-100.0,-100.0,7.13742,-92.86258,-0.9286258
2020-03-20,-100.0,-100.0,-0.8799944,-100.0,-1.0
2020-03-21,-100.0,-100.0,9.355299,-90.6447,-0.906447
2020-03-22,-100.0,-100.0,-4.554161,-100.0,-1.0
2020-03-23,-100.0,-100.0,2.406564,-97.59344,-0.9759344
2020-03-24,-100.0,-100.0,6.1854806,-93.81452,-0.9381452
2020-03-25,-100.0,-100.0,0.6436419,-99.35636,-0.9935636
2020-03-26,-100.0,-100.0,-5.0902624,-100.0,-1.0
2020-03-27,-100.0,-100.0,-6.3104625,-100.0,-1.0
2020-03-28,-100.0,-100.0,-3.133755,-100.0,-1.0
2020-03-29,-100.0,-100.0,1.5075347,-98.49246,-0.9849246
2020-03-30,-100.0,-100.0,-6.912208,-100.0,-1.0
2020-03-31,-100.0,-100.0,-1.432091,-100.0,-1.0
2020-04-01,-100.0,-100.0,-1.0901115,-100.0,-1.0
2020-04-02,-100.0,-100.0,3.7028227,-96.29718,-0.9629718
2020-04-03,-100.0,-100.0,1.4696333,-98.530365,-0.98530364
2020-04-04,-100.0,-100.0,2.433009,-97.56699,-0.9756699
2020-04-05,-100.0,-100.0,-4.476345,-100.0,-1.0
2020-04-06,-100.0,-100.0,-0.8873814,-100.0,-1.0
2020-04-07,-100.0,-100.0,5.367377,-94.63262,-0.9463262
2020-04-08,-100.0,-100.0,10.224565,-89.77544,-0.8977544
2020-04-09,-100.0,-100.0,-8.620014,-100.0,-1.0
2020-04-10,-100.0,-100.0,10.364864,-89.63513,-0.89635134
2020-04-11,-100.0,-100.0,9.214346,-90.78565,-0.9078565
2020-04-12,-100.0,-100.0,5.349138,-94.65086,-0.94650865
2020-04-13,-100.0,-100.0,1.8105581,-98.189445,-0.98189443
2020-04-14,-100.0,-100.0,-2.149228,-100.0,-1.0
2020-04-15,-100.0,-100.0,9.982132,-90.01787,-0.9001787
2020-04-16,-100.0,-100.0,13.420631,-86.57937,-0.8657937
2020-04-17,-100.0,-100.0,12.334638,-87.66536,-0.8766536
2020-04-18,-100.0,-100.0,9.003672,-90.99633,-0.9099633
2020-04-19,-100.0,-100.0,2.4467545,-97.553246,-0.9755325
2020-04-20,-100.0,-100.0,-8.272582,-100.0,-1.0
2020-04-21,-100.0,-100.0,-0.030494591,-100.0,-1.0
2020-04-22,-100.0,-100.0,4.4944625,-95.50554,-0.9550554
2020-04-23,-100.0,-100.0,-8.820584,-100.0,-1.0
2020-04-24,-100.0,-100.0,2.7051473,-97.29485,-0.97294855
2020-04-25,-100.0,-100.0,2.943001,-97.057,-0.97056997
2020-04-26,-100.0,-100.0,4.765358,-95.23464,-0.95234644
2020-04-27,-100.0,-100.0,-8.106896,-100.0,-1.0
2020-04-28,-100.0,-100.0,-4.530253,-100.0,-1.0
2020-04-29,-100.0,-100.0,-2.987992,-100.0,-1.0
2020-04-30,-100.0,-100.0,-8.008883,-100.0,-1.0
2020-05-01,-100.0,-100.0,11.908336,-88.09167,-0.88091666
2020-05-02,-100.0,-100.0,-3.3951826,-100.0,-1.0
2020-05-03,-100.0,-100.0,2.252244,-97.74776,-0.97747755
2020-05-04,-100.0,-100.0,-1.7702804,-100.0,-1.0
2020-05-05,-100.0,-100.0,10.8410225,-89.15898,-0.8915898
2020-05-06,-100.0,-100.0,9.039664,-90.960335,-0.90960336
2020-05-07,-100.0,-100.0,4.336159,-95.66384,-0.9566384
2020-05-08,-100.0,-100.0,-15.086019,-100.0,-1.0
2020-05-09,-100.0,-100.0,0.356209,-99.64379,-0.9964379
2020-05-10,-100.0,-100.0,4.680761,-95.31924,-0.95319235
2020-05-11,-99.98,-99.98,6.873481,-93.10652,-0.9310652
2020-05-12,-100.0,-100.0,-4.230413,-100.0,-1.0
2020-05-13,-100.0,-100.0,12.474143,-87.525856,-0.87525856
2020-05-14,-99.98,-99.98,-9.040144,-100.0,-1.0
2020-05-15,-99.96,-99.96,-4.529058,-100.0,-1.0
2020-05-16,-99.96,-99.96,6.401687,-93.55831,-0.9355831
2020-05-17,-99.96,-99.96,0.33584547,-99.62415,-0.9962415
2020-05-18,-99.19,-99.19,13.709097,-85.4809,-0.85480905
2020-05-19,-99.36,-99.36,1.2906699,-98.06933,-0.9806933
2020-05-20,-98.63,-98.63,-4.3350735,-100.0,-1.0
2020-05-21,-99.12,-99.12,-2.5849352,-100.0,-1.0
2020-05-22,-99.51,-99.51,-7.4703774,-100.0,-1.0
2020-05-23,-99.5,-99.5,-8.747457,-100.0,-1.0
2020-05-24,-99.72,-99.72,4.316023,-95.40398,-0.95403975
2020-05-25,-99.66,-99.66,3.9788694,-95.68114,-0.95681137
2020-05-26,-99.25,-99.25,8.863013,-90.386986,-0.90386987
2020-05-27,-98.69,-98.69,-5.1663017,-100.0,-1.0
2020-05-28,-98.78,-98.78,11.564235,-87.21577,-0.8721577
2020-05-29,-99.27,-99.27,-1.9675592,-100.0,-1.0
2020-05-30,-99.22,-99.22,10.778963,-88.44104,-0.8844104
