date,observed_or_filled_yoy_pp,clipped_yoy_pp,noise_pp,released_yoy_pp,scaled_signal
2020-02-29,-2.0,-2.0,1.7215883,-0.27841175,-0.0027841174
2020-03-01,-2.0,-2.0,-1.8088745,-3.8088746,-0.038088746
2020-03-02,-6.0,-6.0,8.769126,2.769126,0.02769126
2020-03-03,-12.0,-12.0,1.4363676,-10.563632,-0.10563632
2020-03-04,-12.0,-12.0,-7.3347692,-19.33477,-0.1933477
2020-03-05,-9.0,-9.0,4.9512186,-4.0487814,-0.040487815
2020-03-06,-15.0,-15.0,17.855303,2.8553028,0.028553028
2020-03-07,-10.0,-10.0,12.968111,2.968111,0.02968111
2020-03-08,-4.0,-4.0,-9.636047,-13.636047,-0.13636047
2020-03-09,-18.0,-18.0,-17.327057,-35.327057,-0.35327056
2020-03-10,-30.0,-30.0,-8.534321,-38.53432,-0.3853432
2020-03-11,-36.0,-36.0,0.5658649,-35.434135,-0.35434136
2020-03-12,-52.0,-52.0,-31.835987,-83.83598,-0.83835983
2020-03-13,-61.0,-61.0,-2.9958522,-63.995853,-0.63995856
2020-03-14,-64.0,-64.0,-17.059906,-81.059906,-0.8105991
2020-03-15,-69.0,-69.0,-10.02673,-79.02673,-0.79026735
2020-03-16,-77.0,-77.0,-7.452384,-84.452385,-0.84452385
2020-03-17,-100.0,-100.0,-4.3310084,-100.0,-1.0
2020-03-18,-100.0,-100.0,5.63634,-94.36366,-0.94363666
2020-03-19,-100.0,-100.0,14.27484,-85.72516,-0.8572516
2020-03-20,-100.0,-100.0,-1.7599888,-100.0,-1.0
2020-03-21,-100.0,-100.0,18.710598,-81.2894,-0.812894
2020-03-22,-100.0,-100.0,-9.108322,-100.0,-1.0
2020-03-23,-100.0,-100.0,4.813128,-95.186874,-0.9518688
2020-03-24,-100.0,-100.0,12.370961,-87.629036,-0.8762904
2020-03-25,-100.0,-100.0,1.2872838,-98.712715,-0.9871271
2020-03-26,-100.0,-100.0,-10.180525,-100.0,-1.0
2020-03-27,-100.0,-100.0,-12.620925,-100.0,-1.0
2020-03-28,-100.0,-100.0,-6.26751,-100.0,-1.0
2020-03-29,-100.0,-100.0,3.0150695,-96.98493,-0.96984935
2020-03-30,-100.0,-100.0,-13.824416,-100.0,-1.0
2020-03-31,-100.0,-100.0,-2.864182,-100.0,-1.0
2020-04-01,-100.0,-100.0,-2.180223,-100.0,-1.0
2020-04-02,-100.0,-100.0,7.4056454,-92.59435,-0.92594355
2020-04-03,-100.0,-100.0,2.9392667,-97.06073,-0.9706073
2020-04-04,-100.0,-100.0,4.866018,-95.13398,-0.9513398
2020-04-05,-100.0,-100.0,-8.95269,-100.0,-1.0
2020-04-06,-100.0,-100.0,-1.7747627,-100.0,-1.0
2020-04-07,-100.0,-100.0,10.734754,-89.26524,-0.89265245
2020-04-08,-100.0,-100.0,20.44913,-79.55087,-0.79550874
2020-04-09,-100.0,-100.0,-17.240028,-100.0,-1.0
2020-04-10,-100.0,-100.0,20.729729,-79.27027,-0.79270273
