run_name,seed,privacy_mode,mechanism,epsilon,delta,Tmax,D,K,clipping_bound_pp,sensitivity_day_pp,sensitivity_l2_pp,sigma_pp,smoothing_window,window_start,window_end,train_start,train_end,test_start,test_end,MSE,RMSE,MAE,MAPE,seed_dir
public_opentable_dp_gaussian_event_eps4_w7_matched_ot,1,event,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.27147576899367315,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2423.0403475880157,49.22438773197708,45.64879172188895,14.142821849848012,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_event_eps8_w7_matched_ot,1,event,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.13573788449683657,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,4225.370477729976,65.0028497662216,51.67463575090681,17.911110974254505,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_event_eps16_w7_matched_ot,1,event,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.06786894224841829,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,3249.4855104680837,57.00425870466244,46.28199332101004,15.926425260129328,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_restaurant_eps1_w7_matched_ot,1,restaurant,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,13.69271678577325,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2245.0861541041772,47.3823401079366,41.773981366838726,12.41077232456524,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_restaurant_eps2_w7_matched_ot,1,restaurant,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,6.846358392886625,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,3011.1991066939,54.87439390730343,50.5108391898019,15.42504142186861,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_restaurant_eps4_w7_matched_ot,1,restaurant,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,3.4231791964433125,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,10182.653434911477,100.90913454643973,92.71243940080915,27.1238031782298,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_restaurant_eps8_w7_matched_ot,1,restaurant,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,1.7115895982216562,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7306.035400153437,85.47534966382669,65.33084215436664,22.92291086604297,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_restaurant_eps16_w7_matched_ot,1,restaurant,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,0.8557947991108281,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2317.264359196116,48.13797211345858,44.65075901576451,13.86907514255356,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_only_adapter_w7_matched_ot,2,none,none,,,,,,,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,4342.646142985772,65.89875676358221,57.6815436226981,19.17101611436525,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_adapter_w7_matched_ot,2,none,none,,,,,159.0,100.0,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,20959.643304232082,144.7744566704779,139.02643421718054,41.56483791965565,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_event_eps1_w7_matched_ot,2,event,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,1.0859030759746926,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7993.212409489987,89.4047672637762,78.53244454520089,22.548192909798423,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
