privacy_mode,mechanism,epsilon,seed_count,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,sigma_pp_mean,sigma_pp_std
event,gaussian,1.0,5,116.13230231477482,29.314677543616984,105.74510672433034,32.00252159491507,30.88643098473982,10.133852428187136,1.0859030759746926,0.0
event,gaussian,2.0,5,131.62215726938305,35.99793870489867,118.55268358503069,39.64506780054213,37.8681340652244,13.02208966544122,0.5429515379873463,0.0
event,gaussian,4.0,5,113.35706498777779,56.64269023116496,105.05922273908342,56.133282825828374,32.70635310828598,17.366375135325335,0.27147576899367315,0.0
event,gaussian,8.0,5,80.3474176074669,28.56836731604683,69.46118937901088,26.566865222158537,21.647018234268078,8.94118794543916,0.13573788449683657,0.0
event,gaussian,16.0,5,98.51118728260674,28.024116006364086,86.28495450701033,26.497793283755275,25.949558690666937,6.537623986115421,0.06786894224841829,0.0
restaurant,gaussian,1.0,5,71.24582959631012,53.11075932236337,63.848919132777624,52.576111042290094,19.975726866929513,15.251945558648245,13.692716785773252,0.0
restaurant,gaussian,2.0,5,115.83244352952886,56.36618958811792,107.16573143005371,57.86446323811843,32.660803178235014,17.76770340632583,6.846358392886626,0.0
restaurant,gaussian,4.0,5,74.17546846998508,25.296985467141823,63.596798706054685,22.72230856277931,20.703830655989883,6.66842619492414,3.423179196443313,0.0
restaurant,gaussian,8.0,5,71.07823469872608,22.425710434663085,57.37224284580775,15.580634559913067,18.18871423776081,5.576308784712741,1.7115895982216565,0.0
restaurant,gaussian,16.0,5,77.9672424682118,45.64296568632447,69.53374862670898,45.05476821091387,21.538640390861424,13.11867247434695,0.8557947991108282,0.0
