date,trend_covid_topic
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.3915120194189962
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.3915120194189962
2020-02-19,0.3915120194189962
2020-02-20,0.3915120194189962
2020-02-21,0.3915120194189962
2020-02-22,0.3915120194189962
2020-02-23,0.3915120194189962
2020-02-24,0.7830240388379924
2020-02-25,0.7830240388379924
2020-02-26,1.1745360582569886
2020-02-27,1.5660480776759849
2020-02-28,1.5660480776759849
2020-02-29,1.1745360582569886
2020-03-01,1.5660480776759849
2020-03-02,2.7405841359329735
2020-03-03,2.7405841359329735
2020-03-04,3.915120194189962
2020-03-05,5.481168271865947
2020-03-06,5.481168271865947
2020-03-07,5.872680291284943
2020-03-08,5.872680291284943
2020-03-09,11.745360582569885
2020-03-10,21.141649048625794
2020-03-11,16.835016835016837
2020-03-12,20.750137029206797
2020-03-13,19.18408895153081
2020-03-14,20.750137029206797
2020-03-15,23.49072116513977
2020-03-16,30.146425495262708
2020-03-17,29.363401456424715
2020-03-18,29.363401456424715
2020-03-19,33.670033670033675
2020-03-20,36.410617805966645
2020-03-21,35.236081747709655
2020-03-22,39.151201941899615
2020-03-23,38.759689922480625
2020-03-24,35.62759376712865
2020-03-25,37.97666588364263
2020-03-26,39.30178348783
2020-03-27,35.91369870439639
2020-03-28,42.0122513145769
2020-03-29,44.04510218463707
2020-03-30,46.07795305469725
2020-03-31,44.04510218463707
2020-04-01,45.40033609801052
2020-04-02,44.72271914132379
2020-04-03,45.40033609801052
2020-04-04,40.657017401203454
2020-04-05,51.49888870819104
2020-04-06,49.466037838130866
2020-04-07,44.72271914132379
2020-04-08,43.36748522795035
2020-04-09,42.0122513145769
2020-04-10,35.91369870439639
2020-04-11,37.26893261776983
2020-04-12,37.26893261776983
2020-04-13,37.946549574456554
2020-04-14,39.30178348783
2020-04-15,50.82127175150431
2020-04-16,52.17650566487776
2020-04-17,43.36748522795035
2020-04-18,48.78842088144414
2020-04-19,49.466037838130866
2020-04-20,67.76169566867243
2020-04-21,48.78842088144414
2020-04-22,30.49276305090259
2020-04-23,29.815146094215866
2020-04-24,24.39421044072207
2020-04-25,24.39421044072207
2020-04-26,25.74944435409552
2020-04-27,28.459912180842416
2020-04-28,26.42706131078224
2020-04-29,25.74944435409552
2020-04-30,25.74944435409552
2020-05-01,21.00612565728845
2020-05-02,21.00612565728845
2020-05-03,23.038976527348623
2020-05-04,22.361359570661897
2020-05-05,23.038976527348623
2020-05-06,23.716593484035347
2020-05-07,24.39421044072207
2020-05-08,21.683742613975173
2020-05-09,23.038976527348623
2020-05-10,20.328508700601727
2020-05-11,24.39421044072207
2020-05-12,25.071827397408796
2020-05-13,24.39421044072207
2020-05-14,23.716593484035347
2020-05-15,21.00612565728845
2020-05-16,21.00612565728845
2020-05-17,21.683742613975173
2020-05-18,23.038976527348623
2020-05-19,23.038976527348623
2020-05-20,23.038976527348623
2020-05-21,22.361359570661897
2020-05-22,17.618040873854827
2020-05-23,19.650891743915
2020-05-24,20.328508700601727
2020-05-25,20.328508700601727
2020-05-26,21.683742613975173
2020-05-27,20.328508700601727
2020-05-28,16.940423917168108
2020-05-29,17.618040873854827
2020-05-30,16.26280696048138
2020-05-31,15.585190003794654
2020-06-01,16.26280696048138
2020-06-02,14.229956090421208
2020-06-03,14.229956090421208
2020-06-04,14.229956090421208
2020-06-05,14.907573047107933
2020-06-06,13.552339133734481
2020-06-07,13.552339133734481
2020-06-08,15.585190003794654
2020-06-09,16.940423917168108
2020-06-10,16.26280696048138
2020-06-11,16.26280696048138
2020-06-12,18.168604651162795
2020-06-13,16.305158020274302
2020-06-14,17.70274299344067
2020-06-15,20.497912939773407
2020-06-16,19.100327966607036
2020-06-17,19.100327966607036
2020-06-18,15.83929636255218
2020-06-19,18.168604651162795
2020-06-20,18.168604651162795
2020-06-21,17.23688133571855
2020-06-22,20.032051282051285
2020-06-23,20.032051282051285
2020-06-24,20.96377459749553
2020-06-25,22.361359570661897
2020-06-26,24.224806201550393
2020-06-27,21.895497912939778
2020-06-28,22.827221228384023
2020-06-29,23.75894454382827
2020-06-30,20.96377459749553
2020-07-01,23.75894454382827
2020-07-02,20.96377459749553
2020-07-03,21.895497912939778
2020-07-04,19.100327966607036
2020-07-05,19.566189624329162
2020-07-06,23.293082886106145
2020-07-07,24.224806201550393
2020-07-08,22.361359570661897
2020-07-09,20.032051282051285
2020-07-10,21.895497912939778
2020-07-11,20.032051282051285
2020-07-12,21.895497912939778
2020-07-13,25.622391174716764
2020-07-14,26.08825283243888
2020-07-15,25.156529516994635
