date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,-30.645803,7,335.0
2020-07-10,1,-30.53955,7,346.4285583496094
2020-07-11,2,-30.418667,7,367.1428527832031
2020-07-12,3,-30.274857,7,377.28570556640625
2020-07-13,4,-30.09746,7,384.28570556640625
2020-07-14,5,-29.873634,7,374.71429443359375
2020-07-15,6,-29.590187,7,376.0
2020-07-16,7,-29.239727,7,379.4285583496094
2020-07-17,8,-28.825748,7,394.4285583496094
2020-07-18,9,-28.360128,7,388.71429443359375
2020-07-19,10,-27.856739,7,383.8571472167969
2020-07-20,11,-27.327179,7,373.8571472167969
2020-07-21,12,-26.779633,7,364.8571472167969
2020-07-22,13,-26.21931,7,348.5714416503906
2020-07-23,14,-25.64942,7,332.8571472167969
2020-07-24,15,-25.071808,7,316.1428527832031
2020-07-25,16,-24.487547,7,306.4285583496094
2020-07-26,17,-23.897148,7,300.0
2020-07-27,18,-23.30077,7,285.28570556640625
2020-07-28,19,-22.69819,7,281.71429443359375
2020-07-29,20,-22.088606,7,276.4285583496094
2020-07-30,21,-21.469967,7,271.0
2020-07-31,22,-20.83692,7,266.71429443359375
2020-08-01,23,-20.17143,7,271.4285583496094
2020-08-02,24,-19.360209,7,269.71429443359375
2020-08-03,25,-7.715584,7,275.71429443359375
2020-08-04,26,44.32546,7,258.0
2020-08-05,27,58.64653,7,259.1428527832031
