day_idx,pred_cases,smooth_cases_window,truth_cases
0,1786.2083,3,1651.0
1,1844.046,3,1997.0
2,1895.5645,3,2450.0
3,1943.1133,3,2804.666748046875
4,2002.6536,3,2470.333251953125
5,2058.0876,3,2187.0
6,2114.375,3,1751.3333740234375
7,2172.186,3,1520.0
8,2232.1875,3,1733.0
9,2292.3413,3,2104.333251953125
10,2355.1504,3,2493.333251953125
11,2418.386,3,2405.0
12,2483.7432,3,2262.333251953125
13,2550.1694,3,1802.0
14,2618.233,3,1455.3333740234375
15,2687.7275,3,1610.0
16,2758.7253,3,1893.0
17,2831.2114,3,2125.0
18,2905.1855,3,2085.666748046875
19,2980.6467,3,2080.666748046875
20,3057.598,3,1863.6666259765625
21,3136.046,3,1521.6666259765625
22,3215.9978,3,1567.3333740234375
23,3297.4634,3,1974.0
24,3380.4517,3,2371.666748046875
25,3464.9697,3,2429.333251953125
26,3551.0261,3,2282.0
27,3638.6265,3,1916.6666259765625
