pred_cases
1020.78345
1056.3778
1093.2263
1131.3674
1170.8429
1211.6971
1253.9758
1297.726
1342.9968
1389.8389
1438.3032
1488.4438
1540.3152
1593.9741
1649.479
1706.8889
1766.2662
1827.6736
1891.1763
1956.8406
2024.7356
2094.9312
2167.4995
2242.5151
2320.0537
2400.1924
2483.0112
2568.5923
2657.0183
2748.3752
2842.7505
2940.2324
3040.9128
3144.8843
3252.2422
3363.0825
3477.504
3595.6064
3717.4927
3843.2659
3973.0308
4106.894
4244.9644
4387.351
4534.164
4685.5166
4841.5205
5002.29
5167.94
5338.585
5514.341
5695.323
5881.6484
6073.4326
6270.79
6473.836
6682.685
6897.4487
7118.2393
7345.1655
7578.334
7817.8516
8063.8203
8316.337
8575.5
8841.399
9114.122
9393.752
9680.366
9974.034
10274.823
10582.791
10897.987
