date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,-52.78292,0,409.0
2020-07-10,1,-52.668056,0,327.0
2020-07-11,2,-52.5572,0,276.0
2020-07-12,3,-52.451813,0,236.0
2020-07-13,4,-52.353233,0,504.0
2020-07-14,5,-52.262688,0,418.0
2020-07-15,6,-52.18132,0,462.0
2020-07-16,7,-52.110203,0,433.0
2020-07-17,8,-52.050323,0,432.0
2020-07-18,9,-52.00261,0,236.0
2020-07-19,10,-51.968006,0,202.0
2020-07-20,11,-51.947575,0,434.0
2020-07-21,12,-51.942436,0,355.0
2020-07-22,13,-51.95315,0,348.0
2020-07-23,14,-51.978058,0,323.0
2020-07-24,15,-52.011883,0,315.0
2020-07-25,16,-52.04872,0,168.0
2020-07-26,17,-52.09408,0,157.0
2020-07-27,18,-52.180878,0,331.0
2020-07-28,19,-52.363247,0,330.0
2020-07-29,20,-52.651337,0,311.0
2020-07-30,21,-52.917515,0,285.0
2020-07-31,22,-52.93654,0,285.0
2020-08-01,23,-52.603275,0,201.0
2020-08-02,24,-52.10128,0,145.0
2020-08-03,25,-51.98103,0,373.0
2020-08-04,26,-53.154827,0,206.0
2020-08-05,27,-55.552883,0,319.0
