day_idx,pred_cases,smooth_cases_window,truth_cases
0,129618.06,3,1651.0
1,128039.016,3,1997.0
2,126062.484,3,2450.0
3,123925.625,3,2804.666748046875
4,121718.27,3,2470.333251953125
5,119480.44,3,2187.0
6,117234.22,3,1751.3333740234375
7,114994.234,3,1520.0
8,112771.16,3,1733.0
9,110573.12,3,2104.333251953125
10,108406.31,3,2493.333251953125
11,106275.305,3,2405.0
12,104183.375,3,2262.333251953125
13,102132.72,3,1802.0
14,100124.66,3,1455.3333740234375
15,98159.836,3,1610.0
16,96238.34,3,1893.0
17,94359.875,3,2125.0
18,92523.79,3,2085.666748046875
19,90729.234,3,2080.666748046875
20,88975.22,3,1863.6666259765625
21,87260.64,3,1521.6666259765625
22,85584.336,3,1567.3333740234375
23,83945.14,3,1974.0
24,82341.86,3,2371.666748046875
25,80773.36,3,2429.333251953125
26,79238.484,3,2282.0
27,77736.19,3,1916.6666259765625
