day_idx,pred_cases,smooth_cases_window,truth_cases
0,1979.6718,7,2017.857177734375
1,1979.3464,7,2085.857177734375
2,1977.1492,7,2169.28564453125
3,1973.6959,7,2208.28564453125
4,1969.3994,7,2203.71435546875
5,1964.5337,7,2188.428466796875
6,1959.2816,7,2169.857177734375
7,1953.7656,7,2147.571533203125
8,1948.0673,7,2075.28564453125
9,1942.2412,7,2021.7142333984375
10,1936.3237,7,2014.142822265625
11,1930.3392,7,2047.2857666015625
12,1924.3046,7,2054.0
13,1918.2301,7,2035.857177734375
14,1912.1238,7,2019.5714111328125
15,1905.9906,7,2001.2857666015625
16,1899.8342,7,1945.2857666015625
17,1893.6571,7,1861.7142333984375
18,1887.4608,7,1864.4285888671875
19,1881.2468,7,1867.4285888671875
20,1875.0161,7,1888.142822265625
21,1868.7694,7,1892.857177734375
22,1862.5072,7,1849.142822265625
23,1856.2302,7,1922.857177734375
24,1849.9387,7,1998.5714111328125
25,1843.6333,7,1996.4285888671875
26,1837.3145,7,2009.142822265625
27,1830.9747,7,2021.2857666015625
