cases,pub_0,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,pub_7,pub_8,pub_9
697.0,697.0,141.0,15.0,-23.8,-15.0,71.2,-20.0,-18.8,-1.0,11.451451451451453
748.0,748.0,149.0,7.0,-23.0,-18.2,75.6,-19.0,-18.8,-1.6,10.202202202202203
0.0,0.0,206.0,7.0,-23.0,-12.6,20.4,-29.8,-38.6,6.4,12.492492492492492
937.0,937.0,200.0,14.0,-22.4,-13.6,17.4,-29.2,-36.6,6.2,12.492492492492492
973.0,973.0,184.0,13.0,-21.2,-13.2,26.4,-29.0,-36.0,5.4,11.65965965965966
899.0,899.0,179.0,15.0,-21.6,-10.4,24.8,-29.2,-36.6,5.8,10.41041041041041
828.0,828.0,188.0,12.0,-26.0,-15.2,20.4,-32.6,-39.0,7.2,10.826826826826826
657.0,657.0,157.0,7.0,-26.8,-18.0,48.4,-20.2,-18.8,-0.2,9.369369369369371
706.0,706.0,156.0,19.0,-23.8,-18.4,59.2,-20.0,-18.2,-0.2,10.202202202202203
0.0,0.0,206.0,14.0,-30.0,-21.0,-12.2,-34.6,-40.2,12.6,11.243243243243244
977.0,977.0,195.0,12.0,-22.2,-12.2,25.4,-28.2,-36.4,11.0,11.451451451451453
923.0,923.0,194.0,15.0,-23.6,-15.0,19.0,-30.2,-36.2,6.4,11.451451451451453
804.0,804.0,190.0,16.0,-24.4,-14.6,11.8,-31.2,-37.0,6.8,13.74174174174174
862.0,862.0,156.0,19.0,-26.2,-13.6,10.4,-32.0,-38.6,6.8,10.826826826826826
716.0,716.0,147.0,21.0,-26.6,-16.4,57.2,-21.6,-18.6,-0.2,9.369369369369371
676.0,676.0,128.0,17.0,-28.0,-21.6,47.0,-25.4,-19.2,0.4,9.57757757757758
934.0,934.0,201.0,18.0,-28.4,-17.6,-8.6,-34.4,-39.0,9.0,11.451451451451453
897.0,897.0,166.0,13.0,-20.2,-8.4,24.4,-27.8,-35.6,5.8,10.41041041041041
872.0,872.0,174.0,15.0,-20.8,-11.6,23.8,-29.2,-35.2,6.0,9.785785785785787
716.0,716.0,143.0,14.0,-22.2,-10.6,16.0,-30.6,-36.2,6.4,9.993993993993994
696.0,696.0,149.0,16.0,-24.8,-10.6,6.4,-31.4,-38.4,7.0,8.744744744744747
564.0,564.0,133.0,16.0,-24.2,-14.2,67.4,-18.0,-17.6,-1.4,8.952952952952954
631.0,631.0,139.0,13.0,-24.2,-17.6,63.8,-18.6,-17.4,-1.0,9.161161161161164
898.0,898.0,165.0,14.0,-25.8,-13.6,-7.2,-33.2,-38.8,7.6,9.61921921921922
794.0,794.0,163.0,15.0,-21.8,-10.6,25.4,-30.0,-35.4,6.4,8.932132132132134
389.0,389.0,173.0,10.0,-20.2,-10.4,23.0,-30.0,-35.6,6.2,8.35955955955956
676.0,676.0,154.0,14.0,-22.8,-11.4,19.8,-30.6,-36.4,6.2,8.130530530530532
605.0,605.0,177.0,16.0,-25.8,-12.4,6.6,-33.0,-39.2,7.2,8.932132132132134
521.0,521.0,115.0,17.0,-24.8,-15.8,50.4,-20.6,-19.0,-0.4,7.557957957957958
453.0,453.0,121.0,16.0,-27.2,-19.6,45.8,-23.6,-20.4,0.2,7.786986986986988
802.0,802.0,159.0,19.0,-25.2,-14.4,6.0,-33.2,-38.6,7.4,8.016016016016017
649.0,649.0,165.0,20.0,-24.8,-14.6,7.0,-30.6,-36.4,7.0,8.016016016016017
708.0,708.0,155.0,10.0,-21.4,-10.4,19.2,-30.6,-35.6,6.0,7.32892892892893
632.0,632.0,153.0,9.0,-22.6,-10.2,14.4,-30.6,-36.6,6.2,8.130530530530532
584.0,584.0,144.0,12.0,-25.0,-12.4,17.0,-31.2,-38.4,6.0,8.130530530530532
426.0,426.0,93.0,15.0,-24.6,-14.8,69.2,-18.4,-18.0,-1.4,7.32892892892893
420.0,420.0,108.0,14.0,-24.6,-18.4,65.4,-18.2,-18.4,-0.6,7.557957957957958
636.0,636.0,145.0,12.0,-23.0,-14.4,14.6,-32.6,-39.6,9.2,7.901501501501504
586.0,586.0,141.0,14.0,-21.2,-12.0,23.2,-29.8,-37.4,8.4,8.817617617617618
554.0,554.0,144.0,19.0,-22.0,-13.8,13.6,-30.8,-37.4,9.0,8.130530530530532
536.0,536.0,128.0,15.0,-20.4,-10.8,22.8,-29.4,-38.2,8.8,7.901501501501504
524.0,524.0,123.0,10.0,-24.8,-13.8,16.4,-31.0,-39.6,9.0,7.443443443443444
406.0,406.0,109.0,21.0,-25.4,-16.8,59.6,-17.2,-18.4,0.6,8.130530530530532
423.0,423.0,102.0,14.0,-24.2,-19.2,53.4,-18.4,-18.0,0.4,7.443443443443444
596.0,596.0,147.0,16.0,-28.2,-19.8,-14.4,-35.2,-42.0,11.6,7.32892892892893
538.0,538.0,128.0,11.0,-21.0,-12.0,20.8,-29.8,-39.0,9.0,7.32892892892893
531.0,531.0,140.0,16.0,-21.6,-13.2,26.0,-30.4,-38.6,8.6,7.557957957957958
475.0,475.0,123.0,12.0,-21.8,-11.8,25.2,-29.6,-39.0,8.2,7.214414414414416
400.0,400.0,133.0,18.0,-28.2,-16.0,1.4,-32.8,-40.4,9.6,6.985385385385387
305.0,305.0,106.0,13.0,-25.2,-16.6,62.6,-18.4,-18.0,0.4,6.641841841841842
