cases_raw,cases,pub_0,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,pub_7,pub_8,pub_9
2027.0,2429.3333333333335,450.0,95.0,3.0,-17.4,-15.2,70.0,-17.0,-17.6,-2.4,7.911911911911913
3104.0,2476.3333333333335,660.0,117.0,10.0,-18.6,-13.4,27.6,-39.8,-51.4,9.6,9.785785785785787
4341.0,3157.3333333333335,674.0,137.0,11.0,-21.8,-12.8,5.0,-28.0,-30.0,5.8,9.993993993993994
3903.0,3782.6666666666665,606.0,137.0,8.0,-22.6,-14.4,-12.6,-30.2,-31.0,6.8,9.993993993993994
3592.0,3945.3333333333335,646.0,115.0,10.0,-16.0,-7.0,18.6,-27.4,-31.2,5.0,8.952952952952954
3430.0,3641.6666666666665,613.0,147.0,14.0,-18.8,-11.4,23.8,-27.6,-33.6,5.0,8.744744744744747
2565.0,3195.6666666666665,499.0,102.0,12.0,-21.0,-13.6,79.2,-16.0,-16.6,-2.0,8.32832832832833
2602.0,2865.6666666666665,542.0,119.0,8.0,-18.6,-15.6,75.8,-14.4,-16.0,-1.8,8.32832832832833
4694.0,3287.0,898.0,136.0,13.0,-24.0,-17.4,-17.0,-31.6,-33.8,7.6,9.993993993993994
4367.0,3887.6666666666665,734.0,125.0,11.0,-16.6,-9.6,34.4,-27.4,-35.8,5.4,9.57757757757758
4408.0,4489.666666666667,803.0,142.0,10.0,-17.8,-12.0,33.0,-29.4,-35.6,5.8,10.61861861861862
3879.0,4218.0,729.0,162.0,9.0,-17.8,-9.0,28.8,-29.6,-37.0,5.6,10.826826826826826
3940.0,4075.6666666666665,828.0,140.0,9.0,-22.8,-10.6,16.4,-31.8,-40.2,6.4,9.993993993993994
2861.0,3560.0,645.0,120.0,10.0,-25.6,-13.2,31.4,-24.4,-21.2,0.8,8.744744744744747
2878.0,3226.3333333333335,665.0,129.0,14.0,-21.8,-15.6,72.2,-16.2,-20.6,-2.8,10.41041041041041
2325.0,2688.0,588.0,119.0,13.0,-34.2,-24.8,83.6,-49.2,-74.2,12.0,9.161161161161164
6303.0,3835.3333333333335,1069.0,170.0,11.0,-26.6,-14.2,-2.0,-31.4,-40.8,7.2,10.826826826826826
5312.0,4646.666666666667,954.0,185.0,5.0,-21.2,-10.2,23.0,-30.0,-37.0,6.0,11.243243243243244
5163.0,5592.666666666667,924.0,191.0,8.0,-20.4,-8.6,21.8,-30.0,-37.0,5.6,11.867867867867869
4732.0,5069.0,917.0,165.0,5.0,-26.8,-14.4,-2.6,-32.8,-39.0,7.4,12.076076076076076
3247.0,4380.666666666667,697.0,141.0,15.0,-23.8,-15.0,71.2,-20.0,-18.8,-1.0,11.451451451451453
3203.0,3727.3333333333335,748.0,149.0,7.0,-23.0,-18.2,75.6,-19.0,-18.8,-1.6,10.202202202202203
6019.0,4156.333333333333,1028.0,206.0,7.0,-23.0,-12.6,20.4,-29.8,-38.6,6.4,12.492492492492492
5185.0,4802.333333333333,937.0,200.0,14.0,-22.4,-13.6,17.4,-29.2,-36.6,6.2,12.492492492492492
4953.0,5385.666666666667,973.0,184.0,13.0,-21.2,-13.2,26.4,-29.0,-36.0,5.4,11.65965965965966
4808.0,4982.0,899.0,179.0,15.0,-21.6,-10.4,24.8,-29.2,-36.6,5.8,10.41041041041041
4575.0,4778.666666666667,828.0,188.0,12.0,-26.0,-15.2,20.4,-32.6,-39.0,7.2,10.826826826826826
3019.0,4134.0,657.0,157.0,7.0,-26.8,-18.0,48.4,-20.2,-18.8,-0.2,9.369369369369371
3096.0,3563.3333333333335,706.0,156.0,19.0,-23.8,-18.4,59.2,-20.0,-18.2,-0.2,10.202202202202203
5376.0,3830.3333333333335,1006.0,206.0,14.0,-30.0,-21.0,-12.2,-34.6,-40.2,12.6,11.243243243243244
5057.0,4509.666666666667,977.0,195.0,12.0,-22.2,-12.2,25.4,-28.2,-36.4,11.0,11.451451451451453
4765.0,5066.0,923.0,194.0,15.0,-23.6,-15.0,19.0,-30.2,-36.2,6.4,11.451451451451453
4241.0,4687.666666666667,804.0,190.0,16.0,-24.4,-14.6,11.8,-31.2,-37.0,6.8,13.74174174174174
4078.0,4361.333333333333,862.0,156.0,19.0,-26.2,-13.6,10.4,-32.0,-38.6,6.8,10.826826826826826
2896.0,3738.3333333333335,716.0,147.0,21.0,-26.6,-16.4,57.2,-21.6,-18.6,-0.2,9.369369369369371
2709.0,3227.6666666666665,676.0,128.0,17.0,-28.0,-21.6,47.0,-25.4,-19.2,0.4,9.57757757757758
5225.0,3610.0,934.0,201.0,18.0,-28.4,-17.6,-8.6,-34.4,-39.0,9.0,11.451451451451453
4787.0,4240.333333333333,897.0,166.0,13.0,-20.2,-8.4,24.4,-27.8,-35.6,5.8,10.41041041041041
4533.0,4848.333333333333,872.0,174.0,15.0,-20.8,-11.6,23.8,-29.2,-35.2,6.0,9.785785785785787
3943.0,4421.0,716.0,143.0,14.0,-22.2,-10.6,16.0,-30.6,-36.2,6.4,9.993993993993994
3606.0,4027.3333333333335,696.0,149.0,16.0,-24.8,-10.6,6.4,-31.4,-38.4,7.0,8.744744744744747
2385.0,3311.3333333333335,564.0,133.0,16.0,-24.2,-14.2,67.4,-18.0,-17.6,-1.4,8.952952952952954
2568.0,2853.0,631.0,139.0,13.0,-24.2,-17.6,63.8,-18.6,-17.4,-1.0,9.161161161161164
4757.0,3236.6666666666665,898.0,165.0,14.0,-25.8,-13.6,-7.2,-33.2,-38.8,7.6,9.61921921921922
4338.0,3887.6666666666665,794.0,163.0,15.0,-21.8,-10.6,25.4,-30.0,-35.4,6.4,8.932132132132134
3588.0,4227.666666666667,389.0,173.0,10.0,-20.2,-10.4,23.0,-30.0,-35.6,6.2,8.35955955955956
3640.0,3855.3333333333335,676.0,154.0,14.0,-22.8,-11.4,19.8,-30.6,-36.4,6.2,8.130530530530532
3333.0,3520.3333333333335,605.0,177.0,16.0,-25.8,-12.4,6.6,-33.0,-39.2,7.2,8.932132132132134
2201.0,3058.0,521.0,115.0,17.0,-24.8,-15.8,50.4,-20.6,-19.0,-0.4,7.557957957957958
2071.0,2535.0,453.0,121.0,16.0,-27.2,-19.6,45.8,-23.6,-20.4,0.2,7.786986986986988
4173.0,2815.0,802.0,159.0,19.0,-25.2,-14.4,6.0,-33.2,-38.6,7.4,8.016016016016017
3379.0,3207.6666666666665,649.0,165.0,20.0,-24.8,-14.6,7.0,-30.6,-36.4,7.0,8.016016016016017
3267.0,3606.3333333333335,708.0,155.0,10.0,-21.4,-10.4,19.2,-30.6,-35.6,6.0,7.32892892892893
